PO Number,Requisition Number,Order Date,Status,Transmission Method
8000016091,25586,02/27/20,Issued,Sent via Email
8000016090,23295,02/27/20,Issued,Sent via Email
8000016089,25352,02/27/20,Issued,Sent via Email
8000016088,25189,02/27/20,Issued,Sent via Email
8000016087,15750,02/27/20,Issued,Sent via Email
8000016086,24595,02/27/20,Issued,Sent via Email
8000016085,25492,02/27/20,Issued,Sent via Email
8000016084,25495,02/27/20,Issued,Sent via Email
8000016083,24849,02/27/20,Issued,Sent via Email
8000016082,25128,02/27/20,Issued,Sent via Email
8000016081,24031,02/27/20,Issued,Sent via Email
8000016080,24979,02/27/20,Issued,Sent via Email
8000016079,24558,02/27/20,Issued,Sent via Email
8000016078,24791,02/27/20,Issued,Sent via Email
8000016077,19734,02/27/20,Issued,Sent via Email
8000016076,25157,02/27/20,Issued,Sent via Email
8000016075,24828,02/27/20,Issued,Sent via Email
8000016074,17265,02/27/20,Issued,Sent via Email
8000016073,24823,02/27/20,Issued,Sent via Email
8000016072,24819,02/27/20,Issued,Sent via Email
8000016071,24825,02/27/20,Issued,Sent via Email
8000016070,25629,02/27/20,Issued,Sent via Email
8000016069,25090,02/27/20,Issued,Sent via Email
8000016068,24369,02/27/20,Issued,Sent via Email
8000016067,24986,02/27/20,Issued,Sent via Email
8000016066,24841,02/27/20,Issued,Sent via Email
8200016065,22385,02/27/20,Issued,Sent via Email
8000016064,23237,02/27/20,Issued,Sent via Email
8000016063,22813,02/27/20,Issued,Sent via Email
8000016062,24970,02/27/20,Issued,Sent via Email
8000016061,24876,02/27/20,Issued,Sent via Email
8000016060,24870,02/27/20,Issued,Sent via Email
8000016059,25308,02/27/20,Issued,Sent via Email
8000016058,25687,02/27/20,Issued,Sent via Email
8000016057,25593,02/27/20,Issued,Sent via Email
8000016056,24463,02/27/20,Issued,Sent via Email
8000016055,25803,02/27/20,Issued,Sent via Email
8300016054,24636,02/27/20,Issued,Sent via Email
8300016053,22449,02/27/20,Issued,Sent via Email
8000016052,24587,02/27/20,Issued,Sent via Email
8000016051,24092,02/27/20,Issued,Sent via Email
8000016050,25836,02/27/20,Issued,Sent via Email
8000016049,22965,02/27/20,Issued,Sent via Email
8000016048,25834,02/27/20,Issued,Sent via Email
8000016047,25832,02/27/20,Issued,Sent via Email
8000016046,25828,02/27/20,Issued,Sent via Email
8000016045,25695,02/27/20,Issued,Sent via Email
8000016044,20246,02/27/20,Issued,Sent via Email
8300016043,25306,02/27/20,Issued,Sent via Email
8000016042,21194,02/27/20,Issued,Sent via Email
8000016041,15441,02/27/20,Issued,Sent via Email
8000016040,14465,02/27/20,Issued,Sent via Email
8000016039,12986,02/27/20,Issued,Sent via Email
8000016038,25216,02/27/20,Issued,Sent via Email
8000016037,19719,02/27/20,Issued,Sent via Email
8000016036,25276,02/27/20,Issued,Sent via Email
