Req,PO Number,Order Date,Status,Transmission Status,Unanswered Comments,Items,Total,Currency
25586,8000016091,02/27/20,Issued,Sent via Email,false,"1 Each of MUVIT SUPPORT UNIVERSEL NOIR ROTATIF GRI,1 Each of Targus DrifterTrek with USB Power Pass-T,1 Each of FRAIS DE PORT",66.79,EUR
23295,8000016090,02/27/20,Issued,Sent via Email,false,"1 Each of (ST)Stylo bille Bic 4 couleurs 3 + 1 HB - pointe moyenne,1 Each of (ST)Pile bouton lithium Energizer CR2025 - pack de 4,1 Each of (ST)Cadenas Pavo en laiton - fermeture à clé,1 Each of (ST)Porte-mines Conférence - 0,7 mm - embout gomme - boîte de 10,1 Each of (ST)Roller de correction Lyreco - 12 m x 4,2 mm,1 Each of (ST)Crayon graphite Bic Evolution - HB - embout gomme - boîte de 12,2 Each of (ST)Lingette nettoyante bactéricide Lyreco - boîte de 70,2 Each of (ST)Chiffonnette Lyreco multi-usages - pré-imprégnée - boîte de 100,3 Each of (ST)Gaz dépoussiérant Lyreco - inflammable - 400 ml - Sans HFC,1 Each of (ST)Trombone Lyreco Budget - bout chevron - 32 mm - boîte de 100,1 Each of (ST)Aimant Lyreco - rond - Ø 22 mm - coloris assortis - lot de 10,4 Each of (ST)TRIEUR  12 COMPARTIMENTS 17.32,1 Each of (ST)Surligneur Bic Highlighter Grip - coloris assortis - pochette de 5,1 Each of (ST)Règle plate simple Lyreco - plastique - 40 cm,1 Each of (ST)Ciseaux Lyreco Budget - ambidextres - bouts pointus - 21 cm - gris/bleu,1 Each of (ST)Cutter de sécurité Lyreco - plastique - 18 mm",51.9,EUR
25352,8000016089,02/27/20,Issued,Sent via Email,false,"1 Each of Cotisation 2020 RESEAU ALLIANCES,1 Each of SDI FEE",570,EUR
25189,8000016088,02/27/20,Issued,Sent via Email,false,"1 Each of REGUL FACT ESCALE  REPAS FORMATION 05 2019,1 Each of REGUL FACT ESCALE REPAS FORMATION 09 2019,1 Each of REGUL FACT ESCALE REPAS FORMATION 11 2019 ,1 Each of SDI FEE",906.47,EUR
15750,8000016087,02/27/20,Issued,Sent via Email,false,"1 Each of intégration caméra et marquage T-3,1 Each of intégration caméra et marquage T3",730,EUR
24595,8000016086,02/27/20,Issued,Sent via Email,false,21 Each of Dedienne Rachat de matière ,238.6,EUR
25492,8000016085,02/27/20,Issued,Sent via Email,false,"1 Each of FRAHURI0015 (article réservé à PASS Formation),1 Each of Formation France Intra Frais de déplacement (article réservé à PASS Formation)",2331,EUR
25495,8000016084,02/27/20,Issued,Sent via Email,false,1 Each of FRAHURI0015 (article réservé à PASS Formation),1731,EUR
24849,8000016083,02/27/20,Issued,Sent via Email,false,1 Each of VW Passat Berline BVA,29606.08,EUR
25128,8000016082,02/27/20,Issued,Sent via Email,false,"4 Each of Aimant flexible Facom, Longueur hors tout: 530 mm, Tete O: 7 mm, Usage: Finition, Ref. Fabricant: 827.1",68.52,EUR
24031,8000016081,02/27/20,Issued,Sent via Email,false,"1 Each of calibreur pour armoire matrix URGENT  ,1 Each of SDI FEE",250,EUR
24979,8000016080,02/27/20,Issued,Sent via Email,false,1 Each of Travaux remise en état local soude,5585,EUR
24558,8000016079,02/27/20,Issued,Sent via Email,false,1 Each of 432623 - MAIGROT - 2900€,2900,EUR
24791,8000016078,02/27/20,Issued,Sent via Email,false,"1 Each of Intervention sur EFG 213 FN481493 FT 344716612,1 Each of Intervention ERE 225a 91642630 FT 552641769",4295.29,EUR
19734,8000016077,02/27/20,Issued,Sent via Email,false,"1 Each of BON 1529144,1 Each of BON 1529146 N°165358,1 Each of BON 1529147 N°165362,1 Each of BON 1529150 N°165357,1 Each of BON 1529154 N°173973,1 Each of BON 1529158 N° 173978,1 Each of BON 1529168 N°173977,1 Each of BON 1529177 N°165360,1 Each of BON 1529179,1 Each of BON 1529186 N°173974,1 Each of BON 1529188 N°173972,1 Each of BON 1529191,1 Each of BON 1529192 N°165363,1 Each of BON 1530945 N°1530945,1 Each of BON 1530949 N°165365,1 Each of FRAIS ",1686.7,EUR
25157,8000016076,02/27/20,Issued,Sent via Email,false,"1 Each of Fourniture réalisation et pose d'un format adhésif avec impression numérique,1 Each of Frais de markup",270,EUR
24828,8000016075,02/27/20,Issued,Sent via Email,false,"1 Each of Transactions LME MONEWEB ,1 Each of SDI FEE",440,EUR
17265,8000016074,02/27/20,Issued,Sent via Email,false,1 Each of  Dératisation - désinsectisation au restaurant Echaillon de Mastertech,197,EUR
