Exchange Code,Currency,Exchange Rate to EUR
EUR2019,EUR,1.0
AED2019,AED,0.24222
AOA2019,AOA,0.002626
ARS2019,ARS,0.017691
AUD2019,AUD,0.617868
BGN2019,BGN,0.511294
BRL2019,BRL,0.224699
CAD2019,CAD,0.669575
CHF2019,CHF,0.900866
CLP2019,CLP,0.001283
CNY2019,CNY,0.128171
CZK2019,CZK,0.038824
DKK2019,DKK,0.134032
DZD2019,DZD,0.007478
EGP2019,EGP,0.05267
GBP2019,GBP,1.121764
HKD2019,HKD,0.113487
HRK2019,HRK,0.134973
HUF2019,HUF,0.003083
IDR2019,IDR,6.2e-05
ILS2019,ILS,0.249486
INR2019,INR,0.012561
JPY2019,JPY,0.008234
KES2019,KES,0.008731
KWD2019,KWD,2.927835
KZT2019,KZT,0.002311
LBP2019,LBP,0.0
LKR2019,LKR,0.005006
LTL2019,LTL,0.0
MAD2019,MAD,0.092754
MNT2019,MNT,0.000337
MXN2019,MXN,0.045566
MYR2019,MYR,0.214165
NGN2019,NGN,0.002685
NOK2019,NOK,0.101624
NZD2019,NZD,0.586308
OMR2019,OMR,2.310507
PEN2019,PEN,0.266053
PHP2019,PHP,0.017036
PKR2019,PKR,0.005921
PLN2019,PLN,0.231428
QAR2019,QAR,0.243841
RON2019,RON,0.210692
RSD2019,RSD,0.008474
RUB2019,RUB,0.01356
SAR2019,SAR,0.237225
SEK2019,SEK,0.094215
SGD2019,SGD,0.649385
THB2019,THB,0.028579
TND2019,TND,0.302737
TRL2019,TRL,0.15467
TWD2019,TWD,0.028602
UAH2019,UAH,0.034191
UGX2019,UGX,0.000239
USD2019,USD,0.889802
UZS2019,UZS,0.000102
VEB2019,VEB,0.0
ZAR2019,ZAR,0.06071
XOF2019,XOF,0.001524
XAF2019,XAF,0.001526
BGN2019,BGN,0.511294
COP2019,COP,0.00027
IDR2019,IDR,6.2e-05
IRR2019,IRR,3.2e-05
KRW2019,KRW,0.000757
ROL2019,ROL,2.1e-05
CDF2019,CDF,0.000793
VND2019,VND,3.8e-05
VEB2019,VEB,0.0
BYN2019,BYN,0.427655
VES2019,VES,0.0001
AED202001,AED,0.24717
AOA202001,AOA,0.001841
ARS202001,ARS,0.015096
AUD202001,AUD,0.613836
BGN202001,BGN,0.5113
BRL202001,BRL,0.215206
CAD202001,CAD,0.687805
CHF202001,CHF,0.935541
CLP202001,CLP,0.00115
CNY202001,CNY,0.130758
CZK202001,CZK,0.039634
DKK202001,DKK,0.133819
DZD202001,DZD,0.007565
EGP202001,EGP,0.057486
GBP202001,GBP,1.185424
HKD202001,HKD,0.116625
HRK202001,HRK,0.134382
HUF202001,HUF,0.002963
IDR202001,IDR,6.7e-05
ILS202001,ILS,0.262116
INR202001,INR,0.0127
JPY202001,JPY,0.008326
KES202001,KES,0.009
KWD202001,KWD,2.989537
KZT202001,KZT,0.002384
LBP202001,LBP,0.000596
LKR202001,LKR,0.005001
LTL202001,LTL,0.28962
MAD202001,MAD,0.094118
MNT202001,MNT,0.00033
MXN202001,MXN,0.047912
MYR202001,MYR,0.223105
NGN202001,NGN,0.002506
NOK202001,NOK,0.099638
NZD202001,NZD,0.594742
OMR202001,OMR,2.357934
PEN202001,PEN,0.271916
PHP202001,PHP,0.01783
PKR202001,PKR,0.005871
PLN202001,PLN,0.23411
QAR202001,QAR,0.247758
RON202001,RON,0.20917
RSD202001,RSD,0.008513
RUB202001,RUB,0.014483
SAR202001,SAR,0.242025
SEK202001,SEK,0.094522
SGD202001,SGD,0.668226
THB202001,THB,0.029526
TND202001,TND,0.320297
TRL202001,TRL,0.152518
TWD202001,TWD,0.030106
UAH202001,UAH,0.036947
UGX202001,UGX,0.000247
USD202001,USD,0.907029
UZS202001,UZS,9.5e-05
VEB202001,VEB,0.0
ZAR202001,ZAR,0.062332
XOF202001,XOF,0.001525
XAF202001,XAF,0.001524
BGN202001,BGN,0.5113
COP202001,COP,0.00027
IDR202001,IDR,6.7e-05
IRR202001,IRR,2.1e-05
KRW202001,KRW,0.00077
ROL202001,ROL,2.1e-05
CDF202001,CDF,0.000793
VND202001,VND,3.9e-05
VEB202001,VEB,0.0
BYN202001,BYN,0.428449
VES202001,VES,1.2e-05
AED202002,AED,0.24717
AOA202002,AOA,0.001841
ARS202002,ARS,0.015096
AUD202002,AUD,0.613836
BGN202002,BGN,0.5113
BRL202002,BRL,0.215206
CAD202002,CAD,0.687805
CHF202002,CHF,0.935541
CLP202002,CLP,0.00115
CNY202002,CNY,0.130758
CZK202002,CZK,0.039634
DKK202002,DKK,0.133819
DZD202002,DZD,0.007565
EGP202002,EGP,0.057486
GBP202002,GBP,1.185424
HKD202002,HKD,0.116625
HRK202002,HRK,0.134382
HUF202002,HUF,0.002963
IDR202002,IDR,6.7e-05
ILS202002,ILS,0.262116
INR202002,INR,0.0127
JPY202002,JPY,0.008326
KES202002,KES,0.009
KWD202002,KWD,2.989537
KZT202002,KZT,0.002384
LBP202002,LBP,0.000596
LKR202002,LKR,0.005001
LTL202002,LTL,0.28962
MAD202002,MAD,0.094118
MNT202002,MNT,0.00033
MXN202002,MXN,0.047912
MYR202002,MYR,0.223105
NGN202002,NGN,0.002506
NOK202002,NOK,0.099638
NZD202002,NZD,0.594742
OMR202002,OMR,2.357934
PEN202002,PEN,0.271916
PHP202002,PHP,0.01783
PKR202002,PKR,0.005871
PLN202002,PLN,0.23411
QAR202002,QAR,0.247758
RON202002,RON,0.20917
RSD202002,RSD,0.008513
RUB202002,RUB,0.014483
SAR202002,SAR,0.242025
SEK202002,SEK,0.094522
SGD202002,SGD,0.668226
THB202002,THB,0.029526
TND202002,TND,0.320297
TRL202002,TRL,0.152518
TWD202002,TWD,0.030106
UAH202002,UAH,0.036947
UGX202002,UGX,0.000247
USD202002,USD,0.907029
UZS202002,UZS,9.5e-05
VEB202002,VEB,0.0
ZAR202002,ZAR,0.062332
XOF202002,XOF,0.001525
XAF202002,XAF,0.001524
BGN202002,BGN,0.5113
COP202002,COP,0.00027
IDR202002,IDR,6.7e-05
IRR202002,IRR,2.1e-05
KRW202002,KRW,0.00077
ROL202002,ROL,2.1e-05
CDF202002,CDF,0.000793
VND202002,VND,3.9e-05
VEB202002,VEB,0.0
BYN202002,BYN,0.428449
VES202002,VES,1.2e-05
